Department,Year,Abstract_Title,Abstract_Description,Sponsors1,Sponsors2,Sponsors3,PI/PDs1,PI/PDs2,PI/PDs3
Department of Economics,2021,Role of product life cycle in tempering international trade's impact on Indonesian Firms,Our paper empirically examines how the effect of international trade on Indonesian firms varies by the length of product life cycle and R&D activities of different industries. Our exploration is based on theoretical models that predict trade and outsourc,Oklahoma State University, University of Texas at Arlington,,Bidisha Lahiri,,
Department of Economics,2021,Low level equilibrium trap for women,"Women are less likely to pursue a job if the cost of child-care exceeds the salary earned. While this might seem optimum in the short run, there are long run costs in terms of experience forfeited. Women who start at a lower wage job are more likely to g",Oklahoma State University,,,Bidisha Lahiri,,
Department of Economics,2021,The Multi-Headed Effects of Corruption on SMEs,"We examine how informal payments to government officials reduce tax and fees payment, and number of inspections for small and medium sized firms, while at the same time relax credit constraints and make access to technology easier. While payment of bribe",Oklahoma State University,,,Bidisha Lahiri, Haider Ali,
Department of Economics,2021,Effect of ICT on Product Quality,"Product quality, which is an important dimension of research in economics, is combined with the consideration of firm level access to information and communication technology. Using a recent econometric technique, we find that even for firms without mark",Oklahoma State University, Temple University,,Bidisha Lahiri, Ramesh Sharda,
Department of Economics,2021,Household Debt and Meeting Fertility Intentions,This study examines how housing and non-housing debt impacts the probability that women meet their fertility intentions. Housing debt increases fertility for those planning to have children soon and decreases fertility for those not planning to. Housing ,Oklahoma State University,,,Michael Morris, Karina Shreffler,
Department of Economics,2021,"Neighborhood Violence, Family Stress and College Intentions","Student intentions regarding college attendance not only strongly predict earning a higher degree, but also has been found to differ by income and race. We suggest that exposure to neighborhood violence and family stress have negative impacts on college ",Oklahoma State University,,,Michael Morris, Michael Criss,
Department of Economics,2021,Improved IV Estimation of Vertical Property Tax Inequity,In this paper we propose a new IV estimator to be used in detecting vertical property tax inequity. We conduct Monte Carlo experiments to evaluate the bias of this estimator in comparison to traditional linear and log-linear regression based estimators. ,Oklahoma State University,,,Michael Morris, Bill Dare,
Department of Economics,2021,Increasing the Learning Effectiveness of Economics Education,"This study develops, implements, and evaluates a new economics teaching pedagogy based on the U.S. Army’s systems approach to training model.  Using the approach, tasks are identified that compose the task domain for the Principles’ of Microeconomics",State of Oklahoma,,,William McLean,,
Department of Economics,2021,Estimating the Economic Effects of US State and Local Fiscal Policy: The Continued Quest for Robust Policy Recommendations,In this paper we attempt to address limitations of previous research to provide further guidance on US state and local fiscal policy making. We implement the synthetic control method (SCM) to create pairwise matches for states in subsequent regression an,Oklahoma State University,,,Dan Rickman, Hongbo Wang,
Department of Economics,2021,Industry Aggregation and Assessment of State Economic Development from Motion Picture and Television Production Incentives,Studies of the economics of state fiscal incentives for the motion picture and television industry use differing levels of industry aggregation. This study unpacks aggregate sector multipliers for 48 states and shows how the use of aggregated measures fo,Oklahoma State University,,,Dan Rickman, Hongbo Wang,
Department of Economics,2021,Fiscal Implications of Interest Rate Normalization in the United States,"We study the fiscal implications of interest rate normalization from the zero lower bound (ZLB) in the United States. At the ZLB, falling tax revenues and real bond prices increase government debt accumulation. During normalization, interest payments rem",Oklahoma State University, Federal Reserve Bank of Kansas City," Institute of Economics, Academia Sinica",Wenyi Shen,,
Department of Economics,2021,Uncertain Policy Regime and Government Spending Effects,"The literature generally suggests that money-financed government spending has much bigger multipliers than debt-financed spending. Most analyses, however, assume that policy regimes are fixed. Using a fully nonlinear New Keynesian model with endogenous p",Oklahoma State University, Grinnell College," Institute of Economics, Academia Sinica",Wenyi Shen,,
School of Entrepreneurship,2021,The Effects of Neurodiversity on Cognitive Attributes of Early-Stage Entrepreneurs,"Utilizing a neuropathology perspective and conservation of resources theory, we investigated the relationship between neurodiversity and entrepreneurial cognition. Specifically, we introduce the resource-induced coping heuristic (RICH) as a mechanism to ",Oklahoma State University, University of Memphis, West Virginia University,Curt B. Moore,,
School of Entrepreneurship,2021,External Corporate Governance Mechanisms: Considering Markets and Networks,"External corporate governance mechanisms are forces that promote governance structures and practices by top executives and board directors that emanate from outside of the organization. Institutions, industries, markets, and networks all work to influenc",Oklahoma State University, Louisiana State University,,Curt B. Moore,,
School of Entrepreneurship,2021,An Introductory Guide to the use of Social Network Analysis in Family Business Research,"We present a practical, introductory guide on the use of social network analysis to examine social structures (e.g., family and organization) in family business research.  We present an overview of social networks coupled with a taxonomy of social ties. Then, we discuss the basics of designing social network research with a focus on data collection and management.  ",Oklahoma State University,Boise State University,,Curt B. Moore,,
School of Entrepreneurship,2021,Network Safeguards to Knowledge Spillovers in Strategic Alliance Networks,"Firms gain from their strategic alliance networks, both in terms of resources and knowledge.  Knowledge spillovers have traditionally been viewed in terms of benefits to recipient firms.  From the perspective of a firm with valuable knowledge assets, the",Oklahoma State University,Boise State University,,Curt B. Moore,,
School of Entrepreneurship,2021,Women’s Collective Entrepreneurship: Catalyzing Innovation in Emerging Markets,"Studies show that women make significant contributions to innovation in developed economies, but less is known about their contributions in emerging markets where institutional factors often restrict women’s entrepreneurial activities. Thus, we investi",Oklahoma State University, Texas State University,,Kristen Madison, Curt B. Moore, Joyce Nabisaalu
School of Entrepreneurship,2021,Opaque Costly Signals and Debt Contracts,"New Ventures that are unable to fund expansion using internal equity and prefer to maintain complete firm ownership may supplement existing cash flow by accessing external funds in the form of debt contracts (Berger & Udell, 1998). These firms send signa",Oklahoma State University, Baylor University,,Matt Rutherford, Curt B. Moore,
School of Entrepreneurship,2021,Will Crypto Become Actual? An Institutional Approach to Cryptocurrency,"How can cryptocurrency gain legitimacy in the eyes of users? We propose that cryptocurrency firms, through evasive entrepreneurial actions reflected by rhetorical strategies, can acquire legitimacy in the market that will ultimately reduce institutional ",Oklahoma State University,,,Matt Rutherford, Duygu Phillips," Per Bylund, Curt B. Moore"
School of Entrepreneurship,2021,New Venture Legitimacy Diffusion: The Role of Storytelling and Social Networks,"Legitimacy diffusion is critical for new venture success, survival, and growth. Storytelling is a powerful technique to acquire legitimacy as well as to diffuse it. The focus of the current study is to analyze the role of storytelling in social media, sp",Oklahoma State University,,,Matt Rutherford, Duygu Phillips, Curt B. Moore
School of Entrepreneurship,2021,When Family Business Meets Social Enterprise: An Integrative Review and Future Research Agenda,"Family businesses and social enterprises are typically examined as distinct organizational forms, yet scholars in these domains often study similar phenomena. While both domains acknowledge the significant role of family in hybrid organizational missions",State of Oklahoma, Kennesaw State University," California Polytechnic State University, Ryerson University",Kristen Madison,,
School of Entrepreneurship,2021,Women’s Collective Entrepreneurship: Catalyzing Innovation in Emerging Markets,Our study investigates how women contribute to innovation in emerging markets despite the institutional constraints prevalent in this context. We recognize the benefits of women’s collective entrepreneurship and integrate transactive memory theory to h,State of Oklahoma, Texas State University,,Kristen Madison, Curt B. Moore, Joyce Komakech Nabisaalu
School of Entrepreneurship,2021,Parenting Legacy: How Parenting Style Affects Family Business Successors and their Employees,"Transferring leadership across generations is a defining characteristic of family firms. Yet many successors underperform, and little is known about why. We extend parental control theory to develop a model of parenting legacy in family firms. Primary dy",State of Oklahoma, Middle Tennessee State University," University of Central Florida, Northeastern University",Kristen Madison,,
School of Entrepreneurship,2021,Employer Branding in Family Firms: The Influence of Category-Based Beliefs on Applicant Attraction,Family firms often face challenges attracting employees. We theorize and test a parallel mediation model that highlights the importance of the family firm brand in the recruitment process. Results indicate that job seekers have opposing category-based be,State of Oklahoma, University of Witten-Herdecke," University of Bern, University of North Carolina-Charlotte",Kristen Madison,,
School of Entrepreneurship,2021,Linking the Entrepreneur’s Childhood Communication Patterns to the Innovativeness of their Ventures,"This study integrates human communication and imprinting theories to advance our understanding of family firm innovation. Using primary triadic data from leaders, family employees, and nonfamily employees in 38 U.S. family firms, results demonstrate the ",State of Oklahoma, Mississippi State University,,Kristen Madison,,
School of Entrepreneurship,2021,Entrepreneurial Response to Interstate Regulatory Competition: Evidence from a Discrete Choice Experiment,How do entrepreneurs decide between specific entrepreneurial opportunities? We conduct a discrete choice experiment (DCE) with a population of entrepreneurs/small business owners how they perceive and decide between specific opportunities in the food ind,Oklahoma State University, Michigan State University,,Per Bylund,,
School of Entrepreneurship,2021,"Overcoming Uncertainty, Resilience, & Overconfidence in Entrepreneurship",We use conjoint experiments to provide empirical evidence regarding how individuals in the early stages of the entrepreneurial process and under different levels of uncertainty are influenced by the individual’s resilience and overconfidence in their p,Oklahoma State University,,,Per Bylund, Fernando D’Andrea, Steven Trost
School of Entrepreneurship,2021,Effectuation and The Logic of Action: A Critical Assessment from a Praxeological Perspective,"Building on recent discussions about the veracity of effectuation research, we analyze the theoretical structure of effectuation. We rely on a rarely used method for reasoning about social phenomena prevalent in the contemporary Austrian School – forma",Oklahoma State University, University of Alabama Birmingham,,Per Bylund,,
School of Entrepreneurship,2021,Where do factor markets come from? Toward a Resource-Based Theory of the Entrepreneurial Firm,"We argue that the firm as a precondition to and a creator of factor markets. We suggest that the firm is the means through which such advantages are established, an island of entrepreneurial innovation, that provides the means through which goods otherwi",Oklahoma State University, University of Utah,,Per Bylund,,
School of Entrepreneurship,2021,Boundaries of Strategic Theory and Its Implications for Entrepreneurship,"Entrepreneurship draws on theories in strategy to answer its central questions, and strategy increasingly looks at the origins of new value, disclosing a mismatch between canonical strategic theories and their application where value creation, rather tha",Oklahoma State University, University of Utah,,Per Bylund,,
School of Entrepreneurship,2021,Crypto vs. Fiat: An institutional approach,We propose that cryptocurrency firms can acquire market legitimacy that will ultimately reduce institutional uncertainty and propose a process model in which that legitimacy acquired at the market level via evasive action will reduce uncertainty in the f,Oklahoma State University,,,Duygu Phillips, Per Bylund," Curt B. Moore, Matt Rutherford"
School of Entrepreneurship,2021,The Effects of Country-level Institutional Configurations on the Entrepreneurship Process,This research performs an exploratory comparative institutional analysis to understand how country-level institutional configurations may shape the entrepreneurship process. The study uses fsQCA to examine how different characteristics of institutional c,Oklahoma State University, Mississippi State University,,Per Bylund,,
School of Entrepreneurship,2021,A Process Theory of Value and its Implications for Entrepreneurship and the Market Process,"We advance a conception of value as a process, and formalize an integrative theory of subjective value—phenomenal value theory—that depicts value in terms of an experiential learning process. We build upon dualist philosophy to explain how the term �",Oklahoma State University, University of Nevada Reno,,Per Bylund,,
School of Entrepreneurship,2021,New Venture Social Media Legitimacy: The Role of Antenarratives and Social Networks,"Can online fragments of stories—antenarratives—influence legitimacy judgments of audiences? While the work on fully formed narratives and legitimacy is advancing, we know very little about online antenarratives and their legitimacy inducing impact. D",Oklahoma State University,,,Duygu Phillips, Matt Rutherford, Curt B. Moore
School of Entrepreneurship,2021,Optimally Distinctive or Optimally Isomorphic? A Quasi-Experimental Investigation of New Venture Names,"How do organizations saddled with extreme liabilities of newness choose a name that will assist in the difficult process of emergence? Drawing on optimal distinctiveness theory and literature from marketing, we propose that new ventures whose names commu",Oklahoma State University,,,Duygu Phillips, Matt Rutherford,
School of Entrepreneurship,2021,Legitimate Distinctiveness via Cultural Entrepreneurship in New Ventures,"“To be different or to be the same?” Adopting a cultural entrepreneurship process model, we submit that both competitive distinctiveness and institutional conformity can individually serve as legitimating strategies in identity development by forming",Oklahoma State University,,,Duygu Phillips, Matt Rutherford,
School of Entrepreneurship,2021,Crypto vs. Fiat: An Institutional Approach,"How can cryptocurrency gain legitimacy in the eyes of users? We propose that cryptocurrency firms can acquire market legitimacy that will ultimately reduce institutional uncertainty, through rhetorical strategies that circumvent the existing institutiona",Oklahoma State University,,,Duygu Phillips, Per Bylund," Matt Rutherford, Curt B. Moore"
School of Entrepreneurship,2021,What do we “Know” about New Venture Legitimacy: A Meta-Analytic Review of the Relation between New Venture Legitimacy and Firm Performance,"We present insights, based on the sum total of the accumulated empirical knowledge in the literature, regarding the relation between legitimacy and firm performance in new entrepreneurial ventures. Our meta-analysis that captured legitimacy in new, as w",Oklahoma State University,,,Duygu Phillips, Matt Rutherford,
School of Entrepreneurship,2021,Opaque Costly Signals and Debt Contracts,"New Ventures that are unable to fund expansion using internal equity and prefer to maintain complete firm ownership may supplement existing cash flow by accessing external funds in the form of debt contracts (Berger & Udell, 1998). These firms send signa",Oklahoma State University, Baylor University,,Duygu Phillips, Matt Rutherford, Curt B. Moore
School of Entrepreneurship,2021,An Introduction and Clarification of Ex Nihilo Propriety,"Organizational legitimacy attainment is one of the most important precursors to the success of new ventures. However, an underrepresentation within the entrepreneurship literature—describing and examining the actual attainment of legitimacy—has been ",Oklahoma State University,,,Matt Rutherford, Duygu Phillips,
School of Entrepreneurship,2021,Bootstrapping: Complementary Lines of Inquiry in Entrepreneurship,"Bootstrapping is a term, a construct, and a paradigm that has attracted substantial attention from both popular press writers and scholarly researchers. However, insights from existing theory (e.g., signaling, cultural entrepreneurship) as well as the re",Oklahoma State University,,,Matt Rutherford, Duygu Phillips,
School of Entrepreneurship,2021,The Bootstrapping-Bricolage Interface,"The entrepreneurial frameworks of bootstrapping and bricolage both address the broad challenge of surviving and thriving under conditions of resource scarcity. However, while similar in this regard, these frameworks also possess distinct attributes. Boot",Oklahoma State University,,,Matt Rutherford, Duygu Phillips, Jorge Arteaga
School of Entrepreneurship,2021,Nonresponse Bias in Family Business Research,"How do response rates influence outcomes in family business studies? Relatedly and perhaps more importantly, how do they influence the collective quality of family business research? Although there is wide consensus that response rates—and the resultan",Oklahoma State University,,,Matt Rutherford, Duygu Phillips,
School of Entrepreneurship,2021,Building Durability Capabilities New Venture Navigation of the Great Recession   ,"Results from an analysis of 2,500 firms that were founded just prior to the start of the Great Recession indicate that new ventures which display a commitment towards �durability resources� are more likely to survive a recession�and thrive afterword. With regard to combinations of these resources, we found that firms could be described in one of four ways: 1) Resource-Constrained, 2) Bootstrappers, 3) Adequate, and 4) Beneficent. With the exception of the Resource-Constrained, all types demonstrated some association with elevated performance during a recession; but the Beneficent firms were the most strongly associated. ",Oklahoma State University,DePaul University,Samford University,Matt Rutherford,,
School of Entrepreneurship,2021,Deliberate Practice as Entrepreneurship Curriculum: A Study of Middle School Girls in Economically Challenged Regions,"Can the deliberate practice process be employed to swiftly improve individual entrepreneurial performance? To address this question, a curriculum was developed based on the deliberate practice model and administered to middle school girls from economical",Oklahoma State University, ARDX, Southwestern Oklahoma State University,Matt Rutherford,,
School of Entrepreneurship,2021,An Introduction and Clarification of ‘Ex Nihilo’ Propriety,"Organizational legitimacy attainment is one of the most important precursors to the success of new ventures. Until now, an omission within the entrepreneurship literature describing and examining the attainment of legitimacy has been apparent. Previously",Oklahoma State University, North Carolina State," Samford University, Bradley University",Matt Rutherford,,
School of Entrepreneurship,2021,Cronyism and Entrepreneurship: How the Interplay Between Informal and Formal National Institutions Can Impact Country-Level Entrepreneurship?,Cronyism is the practice of favoritism based on connections. The institutionalization of cronyism as a rational practice within a context promotes rewards for unproductive behaviors at the expense of productive behaviors. This study strives to explain ho,Oklahoma State University, Louisiana State University,,Matt Rutherford,,
School of Entrepreneurship,2021,Legitimation in De Novo Firms: A Microfoundational Perspective,We engaged in a longitudinal multiple case study whereby we followed three firms over a period of five years.  The data gathered and analyzed here suggest that stakeholders predominantly make legitimacy judgments about new ventures along two lines: relat,Oklahoma State University, The Artic University of Norway, DePaul University,Matt Rutherford,,
School of Entrepreneurship,2021,The Attracted but Ill-Suited Entrepreneur: The Dark Dyad’s Link to Resource Depletion and New Firm Performance,Previous studies have shown positive outcomes related to dark characteristics suggesting that they are beneficial for the individual while being detrimental to others and society. This study extends the existing literature by investigating dark dyad’s ,Oklahoma State University, Ball State University,,Jonathan Butler, Imran Syed,
School of Entrepreneurship,2021,"For Better or for Worse: Spousal New Venture Employment, Founder Passion, and Founder Burnout","Because the startup environment is resource constrained, often entrepreneurs turn to spouses for low or no cost sources of human capital (Blenkinsopp & Owens, 2010; Dyer, Dyer, & Gardner, 2012) without considering how that decision may affect their own w",Oklahoma State University, Ball State University,,Jonathan Butler, Imran Syed,
School of Entrepreneurship,2021,Illuminating the Dark: The Dark Triad’s Threat to New Venture Performance and Employee Creativity,"Miller (2014) recently called for increased research into the dark side of entrepreneurship. The dark triad (Machiavellianism, narcissism, and psychopathy), introduced by Paulhus and Williams (2002), were recently found to be over-represented among entre",Oklahoma State University,,,Jonathan Butler,,
School of Entrepreneurship,2021,Imagination & Entrepreneurial Alertness in the Midst of Adversity: The Influence of Social Capital,"Cognitive Adaptation Theory () describes how individuals, in response to adversity, use imagination and imagined futures for self-enhancement and to gain control of one’s life. In this study, the authors hypothesize that adversity will be positively re",Oklahoma State University,,,Jonathan Butler,,
School of Entrepreneurship,2021,The Nature of Entrepreneurial Imagination: A Process Perspective,"This work-in-progress paper seeks to offer more definitive view of the nature of entrepreneurial imagination and demonstrate the reasons why imagination is directly relevant to entrepreneurship. Taking cues from cognition and economics literatures, the a",Oklahoma State University,,,Jonathan Butler,,
School of Entrepreneurship,2021,Antecedents and Consequences of Individual-Level Trust in the Fields of Management and Entrepreneurship,"When an individual has trust in another individual there is always a possibility that the other individual will break that trust. Trust is similar to a bet we take on others. It has an inherent element of risk (DeSteno, 2014). Why then do individuals tru",Oklahoma State University, Ball State University,,Jonathan Butler, Imran Syed,
School of Hospitality and Tourism Management,2021,Creating an Effective Support System for Small and Medium-Sized Farm Operators to Succeed in Agritourism,"Agritourism has the potential not only to keep small farms in business but also to provide important local economic development spillover effects.  However, key barriers prevent many farmers from diversifying to include agritourism. These barriers repres", Oklahoma State University,National Institute of Food and Agriculture (NIFA)," Penn State University, University of Vermont",Stacy Tomas,,
School of Hospitality and Tourism Management,2021,Hospitality Training for Wineries,Increased visitation and sales at Oklahoma wineries can be the result of positive staff interactions through great customer service and wine knowledge.  The purpose of this project is to develop a research-based hospitality training program specific to O,Oklahoma Department of Agriculture, Food and Forestry, Oklahoma State University,Stacy Tomas,,
School of Hospitality and Tourism Management,2021,National Agritourism and Direct Sales Research,"From a national perspective the understanding of agritourism, as both a tourism product and as a strategy for income diversification is limited.  While regional research exists across the country, a holistic and comprehensive understanding of this indust",Oklahoma State University, University of Vermont, Oregon State University,Stacy Tomas,,
School of Hospitality and Tourism Management,2021,Applying Psycho-Physiological Methods to Comparison of Virtual Reality Visualizations to Traditional Visualizations in Hotel Settings.,"VR visualizations of a hotel room will be compared to 2-D hotel room images in terms of emotional, attitudinal, and behavioral responses utilizing psycho-physiological measurement methods in addition to traditional survey methods.",Oklahoma State University,,,Lisa Slevitch, Tilanka Chandrasekera," Luis Meja, Kate Korneva"
School of Hospitality and Tourism Management,2021,Empirical Comparison of Kano Categorization Methods.,The aim of the study is to conduct a comprehensive empirical comparison of the existing Kano methods. The accuracy of the methods will be tested using a generated dataset simulating the relationships between attribute performance and customer satisfactio,Oklahoma State University,,,Lisa Slevitch, Mindy McCann," Josephine Acosa, Aisya Larasati"
School of Hospitality and Tourism Management,2021,Optimizing Frontline Shift Composition for Increased Customer Satisfaction and Firm Performance.,The effects of shift composition on customer satisfaction and firm performance will be examined in OSU dining services using qualitative approach.,Oklahoma State University,,,Tom Arnold, Lisa Slevitch,
School of Hospitality and Tourism Management,2021,The Bleisure Travel Experience: Combining Business and Leisure,"The study aims to examine how travelers experience bleisure travel, explore how they balance leisure and business as the two purposes of their trips, and to find out how bleisure travel experience impacts each component individually. Identifying the diff",Oklahoma State University,,,Bardia Batala, Lisa Slevitch,
School of Hospitality and Tourism Management,2021,Foodservice Mobile Application Quality Determinants’ Impact on Customer Satisfaction and Repeat Usage Intentions: The Role of Perceived Risk,"The current study aims to examine foodservice mobile commerce success model and investigate the relationships among its quality components, customer satisfaction, and repeat usage intentions in the restaurant context. The study can assist practitioners i",Oklahoma State University,,,Joo Ahn, Lisa Slevitch,
School of Hospitality and Tourism Management,2021,When Employees Feel Envy: The Role of Psychological Capital,"This study explores the relationships between LMXSC, malicious and benign envy, and Psychological Capital (PsyCap) in the hotel industry. This study found that the employees with low LMXSC were likely to experience not only negative envy but also positiv",Oklahoma State University, Daegu University,,Choonghyoung Lee, Bill Ryan,
School of Hospitality and Tourism Management,2021,Examining the Impact of Artificial Intelligence on Hotel Employees Through Job Insecurity Perspectives,"The purpose was to examine hotel employees’ perception of AI and its impact by identifying the critical role of job insecurity, job engagement, and turnover intention through a pragmatic approach. An explanatory sequential mixed-methods design was used",Oklahoma State University, Florida Gulf Coast University,,Bonhak Koo, Bill Ryan,
School of Hospitality and Tourism Management,2021,Employee Brand Love and Love Behaviors: Perspectives of Social Exchange and Rational Choice,"Marketing scholars study customers’ love for a brand, but little attention has been paid to understanding employees’ love for their brands. The study proposed that forgiveness behavior, supportive voice behavior, and helping behavior are three love b",Oklahoma State University, University of Arkansas," Ling Tung University, Taiwan",Bill Ryan,,
School of Hospitality and Tourism Management,2021,Hotel General Managers’ Brand Love: A Thematic Analysis,"Literature has identified support from top managers as one key success factor in internal branding, a knowledge gap remains regarding understanding general managers’ (GMs’) mindset toward their brands. This study conceptualizes brand love and explore",Oklahoma State University, University of Arkansas, University of New Orleans,Bill Ryan,,
School of Hospitality and Tourism Management,2021,Engage More and Burnout Less Through Love! Examining the Mechanism of Hotel Department Managers’ Brand Love and Health,"This research investigates brand love from hospitality managers’ perspective to see whether this concept can also influence their three work-related attitudinal outcomes, namely work engagement, burnout and positive affect. When individuals have a pass",Oklahoma State University, University of Arkansas, National Taiwan Normal University,Bill Ryan,,
School of Hospitality and Tourism Management,2021,A Meta-Analysis of Customer Loyalty: A Decade of Empirical Research,"Customer loyalty has long been recognized as a critical driver of business success in the tourism and hospitality industry. Despite extensive research on loyalty formation, findings regarding interrelationships between loyalty and its key drivers are inc",Oklahoma State University, Temple University,,Kevin Kam Fung So,,
School of Hospitality and Tourism Management,2021,"Customer Experience in Tourism and Hospitality Research: Bibliometric Analysis, Topic Modeling and Research Agenda",Customer experience has attracted significant attention in past two decades. This study aims to provide the evolution of scientific research on customer experience articles published in 12 tourism and hospitality journals between 1998 and 2019. Using the,Oklahoma State University, University of South Carolina,,Kevin Kam Fung So,,
School of Hospitality and Tourism Management,2021,A bibliometric analysis of customer engagement: A comparison of the marketing and tourism/hospitality fields,"The concept of customer engagement has dominated many industry and practitioner discussions in the tourism industry. Using bibliometric analysis, this study covers an 11-year publication period and targets specific marketing/service and hospitality/touri",Oklahoma State University, University of South Carolina, Temple University,Kevin Kam Fung So,,
School of Hospitality and Tourism Management,2021,Artificial intelligence in service management: Service robots and customer responses,The emergence of artificial intelligence and the increasing adoption of service robots in service organizations have called for more research on human-robot interactions. This study investigates the role of different attributes of service robots in influ,Oklahoma State University, University of South Carolina," Ohio State University, National University of Singapore",Kevin Kam Fung So,,
School of Hospitality and Tourism Management,2021,Actor value formation in a peer-to-peer accommodation: Insight from text-mining,"The sharing economy including Airbnb has been described as a disruptive innovation transforming many traditional businesses. To capture actor value formation (AVF) in the context of Airbnb, this study proposes two stages of investigation. Stage One adopt",Oklahoma State University, University of South Carolina, The Hong Kong Polyethnic University,Kevin Kam Fung So,,
School of Hospitality and Tourism Management,2021,Social influencers and argument quality on online engagement and behavior,This study focuses on social influencer marketing in tourism. The research draws on the elaboration likelihood model (ELM) and examines social influencers as a peripheral cue and argument quality as a central cue to identify how customers process informa,Oklahoma State University, University of South Carolina,,Kevin Kam Fung So,,
School of Hospitality and Tourism Management,2021,Post-disaster recovery strategies in tourism destinations,"Covid-19 has devastated the global travel and tourism industry. The aim of this proposal is four-fold. First, by reconciling the literature on disaster management with the findings from automatic and manual text analysis, this study develops a framework ",Oklahoma State University, University of South Carolina,,Kevin Kam Fung So,,
School of Hospitality and Tourism Management,2021,Customer touchpoints with co-creation experience: Scale development and validation,"This study explores the role of the emerging concept of customer touchpoints in building a co-creation experience in the context of tourism and hospitality services (i.e., hotels, restaurants, and airlines). The scale, developed from a restaurant, hotels",Oklahoma State University, University of South Carolina,,Kevin Kam Fung So,,
School of Hospitality and Tourism Management,2021,"Customer touchpoints, customer engagement, and co-creation experience: Insight from symmetric and asymmetric approaches","This study focuses on the empirical relationships between customer touchpoints, customer engagement, and the co-creation experience. From an analytical standpoint, this study uses symmetric structural equation modeling (SEM) and asymmetric fuzzy-set qual",Oklahoma State University, University of South Carolina,,Kevin Kam Fung So,,
School of Hospitality and Tourism Management,2021,How does Airbnb experience transfer to memorability and platform loyalty? Findings from a sequential mixed method approach,"While the sharing economy has been boosted by platform and has received increasing attention from academics and industry practitioners, the role of Airbnb experience in transforming memorability and platform loyalty remains unexplored. As such, a sequent",Oklahoma State University, Texas Tech University, University of South Carolina,Kevin Kam Fung So,,
School of Hospitality and Tourism Management,2021,Touch vs. Tech service in the hospitality,"Due to COVID-19, both scholars and industry professional suggest applying innovation technology such as self-service kiosk and service robots in the tourism and hospitality industry. Previous studies have suggested that consumers wanted to have service r",Oklahoma State University, Texas Tech University,,Kevin Kam Fung So,,
School of Hospitality and Tourism Management,2021,Platform branding vs. pipeline business branding,"Despite increasing attention has been paid to platform business models (e.g., Van Alstyne et al., 2016; Wirtz et al., 2019), studies focused on branding in platform business remain sparse. Pipeline business models are significantly different from platfor",Oklahoma State University, Texas Tech University, University of South Carolina,Kevin Kam Fung So,,
School of Hospitality and Tourism Management,2021,Inside the feeling economy: understanding consumer adoption behavior of empathetic artificially intelligent device,"AI has significantly transformed the economy as mechanical tasks have largely been taken over by machines. A number of studies have investigated customers’ adoption motivation of AI, such as utility, capacity, and usefulness of AI devices. However, res",Oklahoma State University, Texas Tech University,,Kevin Kam Fung So,,
School of Hospitality and Tourism Management,2021,The effects of travel experiences across time: A three-wave longitudinal investigation,"This study examines the effects of travel experiences across time. Using three-wave data collection, this study investigated the lagged effects of travel experiences on customer engagement, subjective well-being, and revisit intention. The findings are e",Oklahoma State University, Texas Tech University,,Kevin Kam Fung So, Yueying He,
School of Hospitality and Tourism Management,2021,Reciprocal links between destination brand experience and social media stickiness: a three-wave longitudinal study,This study aims to investigate how tourists’ remembered experience interplays with social media usage and their consequences on tourists’ intention to revisit. The model was tested using 3-wave longitudinal data collected across three time points. Th,Oklahoma State University, Texas Tech University,,Kevin Kam Fung So, Yueying He,
School of Hospitality and Tourism Management,2021,"The reciprocal relationships between remembered destination brand experience, emotions, and brand attachment: A cross-lagged panel model",Creating a memorable destination brand experience has been recognized as the ultimate competitive advantage of tourism destination management organizations. Prior research has largely concentrated on the use of cross-sectional data to draw statistical in,Oklahoma State University,,,Kevin Kam Fung So, Yueying He,
School of Hospitality and Tourism Management,2021,A bibliometric investigation of service innovation literature and a research agenda,"To identify the knowledge structure and offer a synthesis of findings on service innovation in hospitality and tourism, this study conducts bibliometric investigation by assessing peer-viewed articles sampled from Web of Science (WOS) database. Through B",Oklahoma State University, Temple University,,Kevin Kam Fung So, Yueying He,
School of Hospitality and Tourism Management,2021,Measuring Restaurant Service Sabotage Behaviors: Developing and Validating a Scale,"Despite the prevalence and profound negative impact of restaurant service sabotage behaviors (RSSB) worldwide, it has been a challenge for researchers to properly gauge such a construct and understand its contextualized specifications. The purpose of the",Oklahoma State University, Kansas State University,,Willie Tao,,
School of Hospitality and Tourism Management,2021,"""We learn; we share"": Culinary knowledge management practices of the 2019 World Pastry Champion",Culinary knowledge is hard-earned and passed down frugally from one culinarian to another. This attitude is gradually diminishing as elite culinarians are becoming increasingly altruistic and open-minded in disseminating their knowledge. Based on a four-,Oklahoma State University,,,Willie Tao, Kai-Sean Lee,
School of Hospitality and Tourism Management,2021,What affects dining services at continuing care retirement communities? Manager’s perspective,"Many older adults prefer to reside in continuing care retirement communities (CCRC). However, only limited research investigated the dining aspects of CCRC, and the perspective of foodservice managers was overlooked. This qualitative study explored the f",Oklahoma State University, Kansas State University,,Willie Tao, Kiyan Shafieizadeh, KyongSik Sung
School of Hospitality and Tourism Management,2021,What attracts older adults when dining at restaurants? A mix-methods study,"Aging is a complex process; however, previous restaurant studies regarding older adults were conducted from managerial perspectives without considering the effect of aging itself. Drawing on the three pillars of aging and Kano Model, this mixed-methods r",Oklahoma State University, Kansas State University," University of North Texas, Macao Institute of Tourism Studies",Willie Tao,,
